sport,score,video_id,video,url,start_time,end_time,category,captions
basketball,23,video5208,video5208.mp4,https://www.youtube.com/watch?v=vRy5Ayt8xPk,672.15,695.34,3,in a basketball court players are trying to put the ball through a hoop ||| there is a man scoring in a basket ball game ||| two teams of basketball players are playing a game on a basketball court ||| superb basketball game is going on in the court before a large group of spectators ||| a short compilation of nba basketball highlights from two different games ||| a basketball sequence is displayed with a particularly fast paced action ||| a player runs bounces the basketball once leaps in the air dunks the ball in the hoop squats down and straightens up ||| a basketball player dunks on another player while one member of the other team hits a buzzer-beater ||| several men are throwing a basketball into a hoop and then running down a court to throw the ball in another hoop ||| players passing ball and scoring a point in a basket ball match ||| players passing the ball and shooting it in the basket in a basket ball match ||| in a basket ball match a player tackles the oponent and shoot a goal ||| a turnover turns into a nice dunk in transition during a basketball game ||| in the nba slam dunk in somebody s face can really hurt their feelings ||| a tall basketball player dunking and scoring a good three-point shoot ||| a blue and white color dress players playing game basket ball inside a stadium audience watching displaying on screen ||| a group of young men play an exciting game of basketball ||| various young men play an exciting game of basketball ||| a basketball game is played between two nba teams ||| some men on a court are playing basket ball
basketball,23,video3986,video3986.mp4,https://www.youtube.com/watch?v=8rTh9VJ6E_Y,156.31,167.15,3,a basketball player makes a slam dunk ||| a basketball team is playing a match ||| a man describes a video game ||| a man dunks a basketball in a video game ||| a player is jumping and putting the basketball into the basket ||| a replay of a basketball video game play ||| a video replay of a slam dunk during a video basketball game ||| a young man discusses and demonstrates the way to play a video game ||| baseket ball players by the basketball hoop ||| gameplay footage of nba live ||| gameplay footage of someone playing a basketball game ||| nba video game players competing with each other ||| playing a basket ball game ||| somebody scores while playing a basketball video game ||| the basketball game is only a video game ||| the man wearing jersey 22 made a basket in that game ||| video game characters are playing basketball on a court ||| somebody scores while playing a basketball video game ||| the man wearing jersey 22 made a basket in that game ||| baseket ball players by the basketball hoop
basketball,20,video4177,video4177.mp4,https://www.youtube.com/watch?v=3ZKs4adQB8M,35.72,50.9,3,a basketball game is occurring ||| a basketball game is shown and talked about ||| a basketball player is dunking the ball ||| a basketball player slam dunks the ball ||| a basketball player slam dunks the ball ||| a man dunks a basketball ||| a man is jumping ||| a man is performing a slam dunk in basketball ||| basketball players making dunk shots ||| clips of players during nba games ||| highlights from a spurs and lakers game ||| highlights from basketball games ||| in a backetball game a player scores a slam dunk ||| men are playing basketball on the court ||| people playing professional basketball ||| some guy s are playing basket ball in a basket ball court ||| teams are playing basketball ||| video of athletes performing amazing plays ||| in a backetball game a player scores a slam dunk ||| teams are playing basketball
basketball,20,video2161,video2161.mp4,https://www.youtube.com/watch?v=A2IMbbRdlsI,345.19,359.91,3,a basket ball game between the lakers and the heat ||| a basketball game with a replay of a slam dunk ||| a basketball match and a player is putting a ball into the basket ||| a basketball player is putting the ball into the basket from distance ||| a couple of slam dunk highlights from nba games ||| a man makes a basket ||| a man performs a slam dunk in a basketball game ||| a man scores a goal in basketball ||| a player dunks the ball in a basketball game ||| a professional basketball game is taking place ||| an announcer briefly talks about a basketball star ||| basketball player slam dunking ||| commentary of a basket ball match ||| commentators talk about a basketball game ||| gerald green of the phoenix suns is going up for an extraordinary dunk ||| guys running up a court ||| player dunked the basketball ||| teams are playing basketball ||| the phoenix suns play basketball ||| the players played ball
basketball,20,video3802,video3802.mp4,https://www.youtube.com/watch?v=8_-f7-Q2l88,367.79,377.97,3,a basketball player shoots a layup ||| a group of men are playing a game of basketball ||| a gym full of men playing basketball ||| a man explains how he fought his way on to the team ||| a man gives commentary for a basketball game ||| a man makes a slam dunk on a basketball court ||| a man shoots a basketball ||| a player is placing the basketball into the basket in training ||| a short clip showing a basketball player practicing ||| basket ball game is progressing ||| bunch of guys playing basketball ||| guys playing basketball on court ||| he did a slam dunk ||| matt barnes is still in the nba ||| men practicing basketball in a gymnasium ||| people are playing basketball ||| people are playing sports in the ground ||| players playing basket ball in basket ball ground ||| someone is playing video game ||| a man gives commentary for a basketball game
basketball,20,video3997,video3997.mp4,https://www.youtube.com/watch?v=rJkr3zT9RTo,152.31,164.28,3,a basketball player goes up for a dunk but gets rejected by the other team ||| a man saves a ball in basketball ||| a player blocks a shot and a different player dunks in two different nba games ||| a vine is shown of different sport highlights ||| basketball players play on a court ||| highlights of a basketball game are playing ||| people are playing basket ball ||| people are playing sports ||| people are playing sports ||| playing volley ball and they keeping goal ||| professional basketball teams play a basketball game at a stadium ||| rap music plays as two basketball teams (one in blue and one in white) play and the camera cuts to another game ||| short replays of basketball games ||| some guy s are playing a basketball in a basket ball court ||| the basket ball match between the two teams ||| various basketball clips shown randomly of different games ||| video of a basketball player getting completely blocked by his opponent while going for a layup ||| highlights of a basketball game are playing ||| short replays of basketball games ||| highlights of a basketball game are playing
basketball,20,video8091,video8091.mp4,https://www.youtube.com/watch?v=llWUlDyPWQM,164.45,176.88,3,a basketball game being played on a court ||| a basketball player gets blocked ||| a bunch of sports clips ||| a clip from a sports vines compilation playing basketball ||| a highlight reel of sports videos are playing ||| a man scores a goal in basketball ||| a special songs for the game ||| a vine shows different sporting highlights ||| an nba bulls player is going up for the dunk ||| basket ball is going on ||| basketball players like michael jordan free throw line dunk and make other plays ||| basketball vine sports clips ||| clips from a basketball are being shown ||| official sports video shows different sports activities ||| people are playing sports ||| sports are being played ||| sports highlight video of big plays ||| sports man playing on a field ||| young players are playing handball ||| an nba bulls player is going up for the dunk
basketball,20,video880,video880.mp4,https://www.youtube.com/watch?v=5gdq0bGSGZ0,11.36,22.37,0,a basketball player runs on court ||| a basketball team is celebrating a winning game ||| a group is playing football ||| a group of athletes celebrate together ||| a slow motion clip of a basketball team s pregame celebration plays ||| an athlete is going onto a basketball court ||| basketball players are shown playing basketball ||| basketball players congratulating each other ||| basketball players get excited before a game before it cuts to a player scoring a point after dunking the ball ||| footage of a basketball team preparing to play ||| it is a montage of the clippers with music playing ||| men are playing basketball in a nba game ||| men in track suits on basketball court ||| men playing basketball ||| players are playing basket ball ||| slow motion basketball while music plays ||| some guys are playing basketball ||| the los angeles clippers basketball team is shown ||| two group of players playing basket ball ||| players are playing basket ball
basketball,19,video3541,video3541.mp4,https://www.youtube.com/watch?v=_EosQ8gZWHk,104.92,116.6,3,three basketball players in orange shirts perform fantastic moves ||| a team of skilled basketball players are demonstrating their skills on the court ||| basketball players are all practising in indoor stadium ||| there are some people playing basket ballwith tricks ||| there are some people playing basket ballwith tricks ||| several people are doing wild stunts using a basketball in front of a crowd of people ||| young men try to dunk the ball with help from a spring board ||| the men fly in the air and do a trick on the goal ||| different men doing tricks while putting a basketball in the hoop ||| few guys showing a show on how differently they basket the ball ||| few persons makes some tricks on how they basket ball people watching them around ||| people completing amazing shots with basketballs outside with people watching ||| young athletic men are preforming very creative slam dunks on a basketball court ||| men in orange jerseys are participating in a dunk competition ||| men jump on trampolines while throwing a basketball ball at the loop ||| a man runs and leaps off a trampoline and dunks a basketball ||| some guys do some big crazy jumps while playing basketball ||| a boys in yellow dresses jumping and playing basket ball game audience watching displaying on screen ||| a boys in yellow dresses jumping and playing basket ball game audience watching displaying on screen ||| a group of players are playing with ball in a ground
basketball,19,video7453,video7453.mp4,https://www.youtube.com/watch?v=w8Wiq-POmFA,102.05,112.51,3,a basketball player is jumping ||| a basketball player jumping and touching a backboard ||| a basketball player jumps and touches the backboard ||| a basketball player jumps to the top of the hoop board ||| a basketball player test his vertacle jump ||| a basketballer touches the top of the board ||| a guy jumping to touch basketball goal ||| a man is jumping and touching a basket ball post in a basket ball court ||| a man is practicing sports ||| a man is trying to touch the top of a basketball backboard ||| a man jumps high ||| a man touches the backboard ||| a sports man is doing excise ||| someone making a jump shot ||| sports science basketball dunk ||| video of a basketball player touching the backboard ||| a basketball player test his vertacle jump ||| a sports man is doing excise ||| someone making a jump shot ||| a man is practicing sports
