video_id,sport,caption_id,caption,rank,similarity,frame_file,frame_number
video1103,soccer,9,compilation of popular soccer clips,1,0.3133052885532379,video1103_frame_000.jpg,0
video1241,soccer,3,a soccer player heads the ball in a video game,1,0.3220100998878479,video1241_frame_000.jpg,0
video1327,soccer,16,video of a soccer player making an amazing play,1,0.3220038414001465,video1327_frame_009.jpg,9
video1388,tennis,19,slow motion of a table tennis tournament,1,0.37380579113960266,video1388_frame_003.jpg,3
video1397,swimming,16,two dogs playing in a swimming pool with a male while a female s voice laughs in the background,1,0.36061158776283264,video1397_frame_005.jpg,5
video1437,swimming,9,dog jumps in and tackles another dog in the pool,1,0.3828904330730438,video1437_frame_001.jpg,1
video1536,tennis,4,this is a very intense table tennis match between two athletes in outstanding form,1,0.3820788264274597,video1536_frame_008.jpg,8
video1543,tennis,4,a table tennis player is trying to bounce and balance a ping pong ball on the handle of his racket for as long as he can,1,0.3776896595954895,video1543_frame_005.jpg,5
video1545,tennis,11,a couple of points from an international badminton doubles match with two men in blue and two men in yellow,1,0.3595277965068817,video1545_frame_005.jpg,5
video1608,tennis,8,two people compete in a fast-paced game of table tennis,1,0.39097878336906433,video1608_frame_010.jpg,10
video1623,basketball,19,a basketball player runs down the court and scores,1,0.30211085081100464,video1623_frame_004.jpg,4
video1649,swimming,5,a music video scene is shown with nicki minaj and lil wayne,1,0.3474697470664978,video1649_frame_004.jpg,4
video1667,basketball,5,a video shows men performing athletic and impressive basketball dunks,1,0.35009241104125977,video1667_frame_006.jpg,6
video1734,soccer,17,various clips of a soccer game showing excellent ball handing skills,1,0.3348349928855896,video1734_frame_002.jpg,2
video19,tennis,2,table tennis is being played by two men and finishes the ball,1,0.3736530542373657,video19_frame_010.jpg,10
video2028,swimming,6,a woman faces a white stallion as a country song plays,1,0.32654428482055664,video2028_frame_009.jpg,9
video2101,basketball,3,a montage of basketball players dunking the ball,1,0.3178262710571289,video2101_frame_004.jpg,4
video2161,basketball,14,gerald green of the phoenix suns is going up for an extraordinary dunk,1,0.3447864055633545,video2161_frame_001.jpg,1
video2305,basketball,1,a man shoots a series of basketball trick shots from long range,1,0.35154691338539124,video2305_frame_011.jpg,11
video2347,soccer,14,us female goalkeeper is being interviewed,1,0.3639935553073883,video2347_frame_000.jpg,0
video2379,tennis,11,two men are competing in a ping-pong match on a blue court,1,0.3650815784931183,video2379_frame_003.jpg,3
video2390,basketball,10,highlight of basketball game with exciting dunk by player,1,0.306233286857605,video2390_frame_000.jpg,0
video247,soccer,19,clips of women playing soccer,1,0.33724838495254517,video247_frame_006.jpg,6
video2545,soccer,19,vine of a soccer clip and a clip of cars,1,0.3320966064929962,video2545_frame_003.jpg,3
video2586,soccer,9,japan scores in women s soccer match,1,0.34787747263908386,video2586_frame_004.jpg,4
video2608,tennis,18,a very intense table tennis match being played in front of a crowed,1,0.38599488139152527,video2608_frame_000.jpg,0
video2622,swimming,18,women exercise and dance,1,0.33592188358306885,video2622_frame_000.jpg,0
video2714,swimming,5,a person sitting on a yellow flotation ring is floating in crystal clear waters,1,0.3551669120788574,video2714_frame_001.jpg,1
video2860,tennis,9,atp pro tennis player alex slabinsky is hitting back and forth with another player on a tennis court,1,0.4016507863998413,video2860_frame_002.jpg,2
video2877,basketball,7,michael jordan is clowning on other players during a game,1,0.3305220603942871,video2877_frame_007.jpg,7
video2994,basketball,1,a basketball player (kobe bryant) runs toward the basket and dunks it in,1,0.34940364956855774,video2994_frame_003.jpg,3
video302,soccer,7,soccer players taking practice shots into a goal with a goalie,1,0.34446805715560913,video302_frame_006.jpg,6
video3050,basketball,3,a basketball player makes a long shot at the last second,1,0.3252483606338501,video3050_frame_003.jpg,3
video3075,basketball,13,a guy shoots a basketball from the driveway at a far distance from the basketball hoop,1,0.38548532128334045,video3075_frame_005.jpg,5
video3160,soccer,1,a clip showing a soccer game,1,0.31404271721839905,video3160_frame_009.jpg,9
video3396,soccer,8,a rugby player continues to score a try even though two opponents attempt to take him down,1,0.3478572964668274,video3396_frame_002.jpg,2
video341,soccer,6,a swedish player scores a goal in icehockey,1,0.3811703622341156,video341_frame_008.jpg,8
video3410,soccer,16,there is a rugby team in black at the beginning then it shows the same game from a different camera angle,1,0.35149282217025757,video3410_frame_011.jpg,11
video3540,soccer,2,a soccer player makes an amazing goal,1,0.3234117925167084,video3540_frame_000.jpg,0
video3541,basketball,5,several people are doing wild stunts using a basketball in front of a crowd of people,1,0.37749046087265015,video3541_frame_000.jpg,0
video3613,swimming,18,a video shows britney spears dancing in lingerie,1,0.34941503405570984,video3613_frame_000.jpg,0
video3628,basketball,14,the basketball player falls on his butt,1,0.3236265480518341,video3628_frame_000.jpg,0
video3661,basketball,9,a nba clip of a slam dunk,1,0.32712244987487793,video3661_frame_009.jpg,9
video3764,basketball,6,andrew wiggins slam drunks on omer asik in a nba game,1,0.32028642296791077,video3764_frame_008.jpg,8
video3802,basketball,8,a short clip showing a basketball player practicing,1,0.3351539671421051,video3802_frame_002.jpg,2
video3872,tennis,11,man in red shirt is serving in the table tennis match,1,0.3830086290836334,video3872_frame_008.jpg,8
video3986,basketball,3,a man dunks a basketball in a video game,1,0.3307817578315735,video3986_frame_006.jpg,6
video3991,swimming,4,a panning of a model of pools and the outside of an apartment building or condo,1,0.3270159661769867,video3991_frame_001.jpg,1
video3997,basketball,1,a man saves a ball in basketball,1,0.3407067358493805,video3997_frame_003.jpg,3
video4075,swimming,4,a guy at a pool sings to the camera while people dance behind him,1,0.3536332845687866,video4075_frame_008.jpg,8
video4158,soccer,6,a soccer player kicks a goal,1,0.3231872320175171,video4158_frame_001.jpg,1
video4176,swimming,0,a group of people jumping into a tub of ice,1,0.37538960576057434,video4176_frame_008.jpg,8
video4177,basketball,10,highlights from a spurs and lakers game,1,0.31395548582077026,video4177_frame_005.jpg,5
video4221,tennis,3,two ment compete in a table tennis match and one man uses his foot,1,0.3692508637905121,video4221_frame_000.jpg,0
video4239,swimming,14,young girls swim underwater in a pool and are delighted with themselves,1,0.35728541016578674,video4239_frame_006.jpg,6
video4273,tennis,10,a sport highlight video shows two men demonstrating a tennis shot,1,0.36726894974708557,video4273_frame_008.jpg,8
video4337,basketball,16,basketball coach walks away from court looking disappointed,1,0.30830565094947815,video4337_frame_001.jpg,1
video4420,basketball,3,a clip of a basketball player and davinci s vitruvian man are shown,1,0.38050901889801025,video4420_frame_008.jpg,8
video4440,swimming,4,people are standing near a pool and someone else is splashing around in the pool in a comedic video clip,1,0.31869426369667053,video4440_frame_002.jpg,2
video4474,tennis,19,two players are playing ping pong and celebrating the point,1,0.38217827677726746,video4474_frame_011.jpg,11
video4481,swimming,8,babies are held underwater to learn how to swim,1,0.3924216032028198,video4481_frame_007.jpg,7
video4540,swimming,13,kids are being filmed swimming in a pool with a dolphin,1,0.3575282096862793,video4540_frame_002.jpg,2
video4558,swimming,16,video of someone trying to show off their pool,1,0.3503468632698059,video4558_frame_010.jpg,10
video4561,basketball,12,james harden dunks in a basketball game,1,0.3262435495853424,video4561_frame_002.jpg,2
video4736,swimming,18,a sexy woman in a bathing suit dancing,1,0.3501473665237427,video4736_frame_002.jpg,2
video4769,tennis,17,two people are playing intense professional table tennis together,1,0.3926125466823578,video4769_frame_003.jpg,3
video4950,swimming,13,infinity pool in tropical setting with the ocean in the background,1,0.3167743682861328,video4950_frame_000.jpg,0
video513,swimming,7,men compete in swimming,1,0.33073073625564575,video513_frame_000.jpg,0
video5144,tennis,8,a bald man wearing blue tshirt returning a tennis shot,1,0.38044044375419617,video5144_frame_005.jpg,5
video5154,tennis,11,a badminton doubles match between chinese and vietnamese players,1,0.33788007497787476,video5154_frame_004.jpg,4
video5197,swimming,6,a virtual school is shown in minecraft,1,0.3244907259941101,video5197_frame_006.jpg,6
video5208,basketball,5,a basketball sequence is displayed with a particularly fast paced action,1,0.3008653223514557,video5208_frame_002.jpg,2
video5216,swimming,7,a hotel near the lake and with big swimming pool on the evening time,1,0.3245783746242523,video5216_frame_006.jpg,6
video522,tennis,9,two men play tennis in a dome in slow motion,1,0.3763348460197449,video522_frame_010.jpg,10
video5261,basketball,18,the players in yellow are scoring points in the game,1,0.28767967224121094,video5261_frame_006.jpg,6
video5368,tennis,2,two women are playing a terrific rally of shuttle badminton,1,0.36691898107528687,video5368_frame_006.jpg,6
video5411,swimming,9,there is a camera crew filiming a blond woman in a pool interacting with a dolpin,1,0.39260947704315186,video5411_frame_007.jpg,7
video5435,soccer,17,learn how new soccer tricks from how-to videos with an amateur pro,1,0.3498800992965698,video5435_frame_001.jpg,1
video5436,basketball,14,norris cole getting hype when teammate dunks on wizard player,1,0.3560735285282135,video5436_frame_003.jpg,3
video5503,soccer,6,blonde soccer player stands at sideline clapping for her teammates,1,0.35663357377052307,video5503_frame_002.jpg,2
video5589,soccer,6,a team of rugby players in red shirts and white shorts coordinates passing the white ball between four running teammates,1,0.3425903022289276,video5589_frame_002.jpg,2
video579,swimming,18,a person showing swimming techniques in front of camera,1,0.3683955669403076,video579_frame_002.jpg,2
video5820,swimming,17,a man is swimming to his surfboard in a canal,1,0.3345785140991211,video5820_frame_011.jpg,11
video5845,tennis,4,a man in orange serves a tennis ball on an all blue court,1,0.35562896728515625,video5845_frame_007.jpg,7
video5862,swimming,16,people at a ski resort in a steamy pool,1,0.37797781825065613,video5862_frame_000.jpg,0
video5863,tennis,16,tennis player gets angry and smashes raquet against bench,1,0.35238227248191833,video5863_frame_011.jpg,11
video5926,basketball,6,a vine video of football clips both soccer and american football,1,0.3400111198425293,video5926_frame_003.jpg,3
video5929,soccer,15,this is a clip from a soccer game,1,0.30548590421676636,video5929_frame_005.jpg,5
video5939,tennis,6,a slow motion replay of an exciting point between two table tennis players,1,0.37753742933273315,video5939_frame_006.jpg,6
video5960,soccer,15,soccer players play on a field and then a little boy see his soldier father and runs to him,1,0.35725530982017517,video5960_frame_007.jpg,7
video5987,basketball,0,a basketball player makes a basket in a video game,1,0.344001829624176,video5987_frame_011.jpg,11
video6066,soccer,17,a female soccer player just missing a goal and being upset,1,0.3152013421058655,video6066_frame_003.jpg,3
video6103,soccer,15,the baseballer climbs the outfiled wall to make a spectacular catch,1,0.3410489559173584,video6103_frame_011.jpg,11
video6156,tennis,8,two guys in red shirts play doubles tennis against two men in red shirts,1,0.37137308716773987,video6156_frame_005.jpg,5
video6185,swimming,3,a swim team is shown standing on television,1,0.37196874618530273,video6185_frame_010.jpg,10
video6187,tennis,15,a man in blue and a man in red playing professional ping pong against each other,1,0.3774113655090332,video6187_frame_007.jpg,7
video6474,soccer,7,fans celebrate a goal in a soccer game,1,0.33272624015808105,video6474_frame_000.jpg,0
video6551,swimming,15,simon cowell sits in judgement of a talent show,1,0.3799559473991394,video6551_frame_004.jpg,4
video6632,soccer,16,clips of different soccer games,1,0.31856104731559753,video6632_frame_001.jpg,1
video671,tennis,18,two table tennis athletes performing a great volley,1,0.38790449500083923,video671_frame_002.jpg,2
video6743,soccer,9,football match where guy misses easy goal shots,1,0.31899651885032654,video6743_frame_008.jpg,8
video6791,swimming,3,four women are performing under water while judges are clapping their hands,1,0.38999760150909424,video6791_frame_002.jpg,2
video6829,swimming,5,a young girl swims underwater with an older girl,1,0.3723772168159485,video6829_frame_000.jpg,0
video6850,swimming,7,four women are performing on top of water containers while judges are watching them,1,0.36566534638404846,video6850_frame_010.jpg,10
video6867,tennis,1,a blonde tennis player pulls her skirt up in an intermission,1,0.3639562129974365,video6867_frame_008.jpg,8
video6973,tennis,12,a table tennis match between two chinese players and the winner celebrating the victory,1,0.3881464898586273,video6973_frame_006.jpg,6
video6979,tennis,11,a women tennis player returns the ball in fashion on either side of the court very comfortably,1,0.36007410287857056,video6979_frame_004.jpg,4
video7125,soccer,6,a soccer player makes an impressive goal from down field,1,0.32177841663360596,video7125_frame_006.jpg,6
video7190,tennis,7,a man walks in front of a ping pong table while commentators speak about the match,1,0.3835517168045044,video7190_frame_002.jpg,2
video7247,soccer,18,rugby players begin to form a scrum when the ball is passed to an opponent who runs the ball in,1,0.34808242321014404,video7247_frame_001.jpg,1
video7261,soccer,4,a man plays soccer on a field and attempts to make several goals,1,0.33685043454170227,video7261_frame_004.jpg,4
video7390,soccer,1,a man discusses long shots in a soccer video game,1,0.36027657985687256,video7390_frame_006.jpg,6
video7453,basketball,4,a basketball player test his vertacle jump,1,0.3458977937698364,video7453_frame_002.jpg,2
video760,basketball,10,a still image of michael jordan shooting his final basket while a voice lists off his stats and career achievements,1,0.32649701833724976,video760_frame_000.jpg,0
video787,tennis,19,a guy with a shirt is hitting a badminton birdie,1,0.3513018786907196,video787_frame_003.jpg,3
video7951,swimming,15,two men on the ellen show demonstrate a science experiment dealing with steam a metal barrel and a swimming pool,1,0.43982958793640137,video7951_frame_003.jpg,3
video8091,basketball,19,an nba bulls player is going up for the dunk,1,0.34032753109931946,video8091_frame_010.jpg,10
video8104,tennis,0,there is a yellow jersey man playing badminton with balance,1,0.3516364097595215,video8104_frame_003.jpg,3
video8271,swimming,6,avril lavigne sings and swims in a a pool in a music video,1,0.35747402906417847,video8271_frame_008.jpg,8
video835,swimming,5,surfer swims away from shark attack after shark bites through his surfboard leash,1,0.3294486403465271,video835_frame_006.jpg,6
video8699,tennis,10,two players wearing red play a game of badminton against two players wearing blue,1,0.3725484609603882,video8699_frame_002.jpg,2
video8706,tennis,9,two women play badminton on a green court with a purple border,1,0.37649714946746826,video8706_frame_008.jpg,8
video8730,soccer,3,a guy kicking a ball into a goal,1,0.32967445254325867,video8730_frame_006.jpg,6
video880,basketball,4,a slow motion clip of a basketball team s pregame celebration plays,1,0.3234667181968689,video880_frame_003.jpg,3
video8859,basketball,18,the player dunks on the other man,1,0.3196243345737457,video8859_frame_004.jpg,4
video8881,basketball,9,basketball player attempts to break shaqs jump record,1,0.391743004322052,video8881_frame_008.jpg,8
video8967,soccer,2,a guy scores a goal inside an indoor soccer arena,1,0.3534073233604431,video8967_frame_003.jpg,3
video9182,soccer,7,a player trying out new movies in a soccer video game,1,0.3484344184398651,video9182_frame_011.jpg,11
