video_id,sport,caption_id,caption,rank,similarity,frame_file,frame_number
video1623,basketball,0,a basketball game being played,1,0.2711847722530365,video1623_frame_003.jpg,3
video1623,basketball,0,a basketball game being played,2,0.26043808460235596,video1623_frame_004.jpg,4
video1623,basketball,0,a basketball game being played,3,0.24856914579868317,video1623_frame_000.jpg,0
video1623,basketball,0,a basketball game being played,4,0.24505454301834106,video1623_frame_008.jpg,8
video1623,basketball,0,a basketball game being played,5,0.24291178584098816,video1623_frame_002.jpg,2
video1623,basketball,0,a basketball game being played,6,0.23893892765045166,video1623_frame_005.jpg,5
video1623,basketball,0,a basketball game being played,7,0.23811808228492737,video1623_frame_011.jpg,11
video1623,basketball,0,a basketball game being played,8,0.23776477575302124,video1623_frame_006.jpg,6
video1623,basketball,1,a basketball player runs down the court and scores,1,0.30211085081100464,video1623_frame_004.jpg,4
video1623,basketball,1,a basketball player runs down the court and scores,2,0.29896870255470276,video1623_frame_003.jpg,3
video1623,basketball,1,a basketball player runs down the court and scores,3,0.28375163674354553,video1623_frame_000.jpg,0
video1623,basketball,1,a basketball player runs down the court and scores,4,0.2828579545021057,video1623_frame_002.jpg,2
video1623,basketball,1,a basketball player runs down the court and scores,5,0.28159087896347046,video1623_frame_008.jpg,8
video1623,basketball,1,a basketball player runs down the court and scores,6,0.2807338237762451,video1623_frame_011.jpg,11
video1623,basketball,1,a basketball player runs down the court and scores,7,0.28026923537254333,video1623_frame_010.jpg,10
video1623,basketball,1,a basketball player runs down the court and scores,8,0.2774571478366852,video1623_frame_006.jpg,6
video1623,basketball,2,a basketball player shoots a layup,1,0.2855246663093567,video1623_frame_003.jpg,3
video1623,basketball,2,a basketball player shoots a layup,2,0.27922478318214417,video1623_frame_004.jpg,4
video1623,basketball,2,a basketball player shoots a layup,3,0.2713829278945923,video1623_frame_006.jpg,6
video1623,basketball,2,a basketball player shoots a layup,4,0.26816946268081665,video1623_frame_007.jpg,7
video1623,basketball,2,a basketball player shoots a layup,5,0.26698100566864014,video1623_frame_002.jpg,2
video1623,basketball,2,a basketball player shoots a layup,6,0.2654305100440979,video1623_frame_011.jpg,11
video1623,basketball,2,a basketball player shoots a layup,7,0.2651413083076477,video1623_frame_010.jpg,10
video1623,basketball,2,a basketball player shoots a layup,8,0.262706458568573,video1623_frame_000.jpg,0
video1623,basketball,3,a clip of basketball game dunk,1,0.2930539846420288,video1623_frame_003.jpg,3
video1623,basketball,3,a clip of basketball game dunk,2,0.29117658734321594,video1623_frame_000.jpg,0
video1623,basketball,3,a clip of basketball game dunk,3,0.2871306240558624,video1623_frame_004.jpg,4
video1623,basketball,3,a clip of basketball game dunk,4,0.28539225459098816,video1623_frame_006.jpg,6
video1623,basketball,3,a clip of basketball game dunk,5,0.27773162722587585,video1623_frame_002.jpg,2
video1623,basketball,3,a clip of basketball game dunk,6,0.27627986669540405,video1623_frame_008.jpg,8
video1623,basketball,3,a clip of basketball game dunk,7,0.27431127429008484,video1623_frame_007.jpg,7
video1623,basketball,3,a clip of basketball game dunk,8,0.2743058204650879,video1623_frame_010.jpg,10
video1623,basketball,4,a person is explaining something,1,0.21850495040416718,video1623_frame_000.jpg,0
video1623,basketball,4,a person is explaining something,2,0.19059310853481293,video1623_frame_001.jpg,1
video1623,basketball,4,a person is explaining something,3,0.19001002609729767,video1623_frame_011.jpg,11
video1623,basketball,4,a person is explaining something,4,0.18283721804618835,video1623_frame_008.jpg,8
video1623,basketball,4,a person is explaining something,5,0.17041078209877014,video1623_frame_010.jpg,10
video1623,basketball,4,a person is explaining something,6,0.1665625274181366,video1623_frame_006.jpg,6
video1623,basketball,4,a person is explaining something,7,0.16224509477615356,video1623_frame_004.jpg,4
video1623,basketball,4,a person is explaining something,8,0.1621309518814087,video1623_frame_003.jpg,3
video1623,basketball,5,a team members scores in a basketball match,1,0.2797420024871826,video1623_frame_003.jpg,3
video1623,basketball,5,a team members scores in a basketball match,2,0.27483856678009033,video1623_frame_004.jpg,4
video1623,basketball,5,a team members scores in a basketball match,3,0.2725081145763397,video1623_frame_000.jpg,0
video1623,basketball,5,a team members scores in a basketball match,4,0.2627005875110626,video1623_frame_007.jpg,7
video1623,basketball,5,a team members scores in a basketball match,5,0.26166003942489624,video1623_frame_008.jpg,8
video1623,basketball,5,a team members scores in a basketball match,6,0.2604054808616638,video1623_frame_006.jpg,6
video1623,basketball,5,a team members scores in a basketball match,7,0.2591078281402588,video1623_frame_002.jpg,2
video1623,basketball,5,a team members scores in a basketball match,8,0.2542632222175598,video1623_frame_011.jpg,11
video1623,basketball,6,athletes score points for their teams,1,0.24591396749019623,video1623_frame_001.jpg,1
video1623,basketball,6,athletes score points for their teams,2,0.2449655681848526,video1623_frame_000.jpg,0
video1623,basketball,6,athletes score points for their teams,3,0.23737747967243195,video1623_frame_011.jpg,11
video1623,basketball,6,athletes score points for their teams,4,0.23482561111450195,video1623_frame_008.jpg,8
video1623,basketball,6,athletes score points for their teams,5,0.22797909379005432,video1623_frame_010.jpg,10
video1623,basketball,6,athletes score points for their teams,6,0.22789017856121063,video1623_frame_004.jpg,4
video1623,basketball,6,athletes score points for their teams,7,0.22696809470653534,video1623_frame_003.jpg,3
video1623,basketball,6,athletes score points for their teams,8,0.22377964854240417,video1623_frame_006.jpg,6
video1623,basketball,7,commentary of a basket ball match,1,0.2750968933105469,video1623_frame_000.jpg,0
video1623,basketball,7,commentary of a basket ball match,2,0.26843854784965515,video1623_frame_004.jpg,4
video1623,basketball,7,commentary of a basket ball match,3,0.2651425302028656,video1623_frame_003.jpg,3
video1623,basketball,7,commentary of a basket ball match,4,0.26363882422447205,video1623_frame_002.jpg,2
video1623,basketball,7,commentary of a basket ball match,5,0.2601238191127777,video1623_frame_006.jpg,6
video1623,basketball,7,commentary of a basket ball match,6,0.25940415263175964,video1623_frame_007.jpg,7
video1623,basketball,7,commentary of a basket ball match,7,0.25594204664230347,video1623_frame_008.jpg,8
video1623,basketball,7,commentary of a basket ball match,8,0.2548622786998749,video1623_frame_001.jpg,1
video1623,basketball,8,guy slam dunks and scores a point,1,0.2982422709465027,video1623_frame_000.jpg,0
video1623,basketball,8,guy slam dunks and scores a point,2,0.294937402009964,video1623_frame_006.jpg,6
video1623,basketball,8,guy slam dunks and scores a point,3,0.2832666337490082,video1623_frame_011.jpg,11
video1623,basketball,8,guy slam dunks and scores a point,4,0.2799758017063141,video1623_frame_008.jpg,8
video1623,basketball,8,guy slam dunks and scores a point,5,0.27981120347976685,video1623_frame_004.jpg,4
video1623,basketball,8,guy slam dunks and scores a point,6,0.2795364558696747,video1623_frame_007.jpg,7
video1623,basketball,8,guy slam dunks and scores a point,7,0.27784231305122375,video1623_frame_003.jpg,3
video1623,basketball,8,guy slam dunks and scores a point,8,0.27653858065605164,video1623_frame_010.jpg,10
