image_id,num_captions,min_len,max_len,mean_len,image_exists
sin_id,1,6,6,6.0,True
sin_id,1,6,6,6.0,True
sin_id,1,7,7,7.0,True
sin_id,1,7,7,7.0,True
sin_id,1,12,12,12.0,True
sin_id,1,7,7,7.0,True
sin_id,1,6,6,6.0,True
sin_id,1,6,6,6.0,True
sin_id,1,9,9,9.0,True
sin_id,1,6,6,6.0,True
sin_id,1,8,8,8.0,True
sin_id,1,7,7,7.0,True
sin_id,1,15,15,15.0,True
sin_id,1,6,6,6.0,True
sin_id,1,11,11,11.0,True
sin_id,1,6,6,6.0,True
sin_id,1,11,11,11.0,True
sin_id,1,14,14,14.0,True
sin_id,1,12,12,12.0,True
sin_id,1,17,17,17.0,True
sin_id,1,9,9,9.0,True
sin_id,1,8,8,8.0,True
sin_id,1,22,22,22.0,True
sin_id,1,5,5,5.0,True
sin_id,1,11,11,11.0,True
sin_id,1,7,7,7.0,True
sin_id,1,6,6,6.0,True
sin_id,1,13,13,13.0,True
sin_id,1,8,8,8.0,True
sin_id,1,13,13,13.0,True
sin_id,1,8,8,8.0,True
sin_id,1,9,9,9.0,True
sin_id,1,31,31,31.0,True
sin_id,1,12,12,12.0,True
sin_id,1,8,8,8.0,True
sin_id,1,7,7,7.0,True
sin_id,1,20,20,20.0,True
sin_id,1,6,6,6.0,True
sin_id,1,5,5,5.0,True
sin_id,1,8,8,8.0,True
sin_id,1,18,18,18.0,True
sin_id,1,7,7,7.0,True
sin_id,1,7,7,7.0,True
sin_id,1,8,8,8.0,True
sin_id,1,9,9,9.0,True
sin_id,1,11,11,11.0,True
sin_id,1,5,5,5.0,True
sin_id,1,8,8,8.0,True
sin_id,1,11,11,11.0,True
sin_id,1,13,13,13.0,True
sin_id,1,9,9,9.0,True
sin_id,1,9,9,9.0,True
sin_id,1,10,10,10.0,True
sin_id,1,13,13,13.0,True
sin_id,1,10,10,10.0,True
sin_id,1,7,7,7.0,True
sin_id,1,8,8,8.0,True
sin_id,1,6,6,6.0,True
sin_id,1,5,5,5.0,True
sin_id,1,4,4,4.0,True
sin_id,1,15,15,15.0,True
sin_id,1,10,10,10.0,True
sin_id,1,10,10,10.0,True
sin_id,1,9,9,9.0,True
sin_id,1,15,15,15.0,True
sin_id,1,6,6,6.0,True
sin_id,1,6,6,6.0,True
sin_id,1,7,7,7.0,True
sin_id,1,12,12,12.0,True
sin_id,1,11,11,11.0,True
sin_id,1,7,7,7.0,True
sin_id,1,6,6,6.0,True
sin_id,1,7,7,7.0,True
sin_id,1,6,6,6.0,True
sin_id,1,18,18,18.0,True
sin_id,1,8,8,8.0,True
sin_id,1,20,20,20.0,True
sin_id,1,13,13,13.0,True
sin_id,1,12,12,12.0,True
sin_id,1,8,8,8.0,True
sin_id,1,6,6,6.0,True
sin_id,1,10,10,10.0,True
sin_id,1,5,5,5.0,True
sin_id,1,10,10,10.0,True
sin_id,1,6,6,6.0,True
sin_id,1,8,8,8.0,True
sin_id,1,5,5,5.0,True
sin_id,1,14,14,14.0,True
sin_id,1,7,7,7.0,True
sin_id,1,11,11,11.0,True
sin_id,1,9,9,9.0,True
sin_id,1,18,18,18.0,True
sin_id,1,5,5,5.0,True
sin_id,1,9,9,9.0,True
sin_id,1,7,7,7.0,True
sin_id,1,8,8,8.0,True
sin_id,1,6,6,6.0,True
sin_id,1,15,15,15.0,True
sin_id,1,4,4,4.0,True
sin_id,1,11,11,11.0,True
sin_id,1,6,6,6.0,True
sin_id,1,15,15,15.0,True
sin_id,1,19,19,19.0,True
sin_id,1,5,5,5.0,True
sin_id,1,10,10,10.0,True
sin_id,1,7,7,7.0,True
sin_id,1,15,15,15.0,True
sin_id,1,14,14,14.0,True
sin_id,1,9,9,9.0,True
sin_id,1,7,7,7.0,True
sin_id,1,12,12,12.0,True
sin_id,1,6,6,6.0,True
sin_id,1,14,14,14.0,True
sin_id,1,5,5,5.0,True
sin_id,1,23,23,23.0,True
sin_id,1,9,9,9.0,True
