image_id,caption_generado,bleu_simple,rouge_l,cobertura_lexica
sin_id,a baseball player pitching a ball on a field,0.1423611111111111,0.26666666666666666,0.3333333333333333
sin_id,two men in suits sitting on a tv set,0.027777777777777776,0.13333333333333333,0.16666666666666666
sin_id,a group of men playing basketball on a court,0.1111111111111111,0.375,0.5
sin_id,a soccer game is shown in the screen,0.1294642857142857,0.39999999999999997,0.5
sin_id,a soccer field with a goal and a goal post,0.12777777777777777,0.2727272727272727,0.18181818181818182
sin_id,a soccer game is being played in a stadium,0.2926587301587301,0.6250000000000001,0.8571428571428571
sin_id,a football game is being played on the field,0.08680555555555555,0.26666666666666666,0.4
sin_id,a football player is running for the ball,0.09821428571428571,0.28571428571428575,0.4
sin_id,a football game is being played on the field,0.08680555555555555,0.2222222222222222,0.25
sin_id,a soccer game with a player in the middle of the field,0.10606060606060605,0.2222222222222222,0.6
sin_id,a basketball player is trying to block the ball,0.11458333333333333,0.35294117647058826,0.42857142857142855
sin_id,a football player is about to throw the ball,0.31795634920634924,0.5,0.6666666666666666
sin_id,a group of people are walking down a hill,0.1701388888888889,0.25,0.2857142857142857
sin_id,a screenshot of a game with a bird flying over it,0.06818181818181818,0.11764705882352942,0.16666666666666666
sin_id,a woman in a pool with a dog,0.32589285714285715,0.631578947368421,0.5555555555555556
sin_id,a football player is about to throw the ball,0.181547619047619,0.4,0.75
sin_id,a man is standing on a track with his arms up,0.16868686868686872,0.2727272727272727,0.3333333333333333
sin_id,a man in red shirt standing on a court,0.08333333333333333,0.17391304347826086,0.14285714285714285
sin_id,a man in green shirt playing ping po,0.39672619047619045,0.5,0.4166666666666667
sin_id,a basketball player is about to shoot the ball,0.08333333333333333,0.23076923076923078,0.1875
sin_id,a man in a football uniform holding a microphone,0.1423611111111111,0.2222222222222222,0.2222222222222222
sin_id,a football game is being played on the field,0.181547619047619,0.35294117647058826,0.42857142857142855
sin_id,table tennis players playing a game of ping,0.1607142857142857,0.19999999999999998,0.21052631578947367
sin_id,a man in a red jersey is standing on the court,0.045454545454545456,0.12500000000000003,0.2
sin_id,a group of men playing basketball on a court,0.08333333333333333,0.3,0.2
sin_id,a man jumping in the air with a basketball ball,0.10277777777777777,0.23529411764705882,0.3333333333333333
sin_id,a soccer game with a goal and a ball,0.08333333333333333,0.13333333333333333,0.16666666666666666
sin_id,a woman in a red jersey is standing in front of a group of people,0.10119047619047619,0.28571428571428575,0.2222222222222222
sin_id,a football player is running with the ball,0.23809523809523808,0.5,0.5
sin_id,a baseball player is throwing a ball at the plate,0.2895833333333333,0.5217391304347826,0.5
sin_id,a tv screen with a football game on it,0.05555555555555555,0.11764705882352941,0.125
sin_id,the best nfl players in the nfl history,0.0625,0.11764705882352941,0.1111111111111111
sin_id,20 % of nexus facts,0.0625,0.05714285714285715,0.03571428571428571
sin_id,a man in a white shirt is standing in front of a plane,0.09775641025641026,0.24000000000000002,0.2
sin_id,a woman in a pink shirt is on a boat,0.1527777777777778,0.4444444444444445,0.42857142857142855
sin_id,a baseball player swinging at a ball,0.07142857142857142,0.2857142857142857,0.2857142857142857
sin_id,a soccer game is being played in the stadium,0.08333333333333333,0.13793103448275865,0.23076923076923078
