text,image_path,label
historical documentary archive interview public issue real people testimony social context education cinema slow paced review with real interviews,images/train_documentary_073.png,documentary
animation family adventure colorful magical hero animal kingdom fantasy playful journey friendship family review with colorful fantasy scenes,images/train_animation_054.png,animation
cartoon animation fantasy family magical adventure playful kingdom characters friendship color family review with colorful fantasy scenes but also hints of terrifying,images/train_animation_034.png,animation
horror dark fear nightmare haunted blood shadow scream sinister mystery suspense survival terror review with tense scenes and dark mood but also hints of cartoon,images/train_horror_037.png,horror
animated family colorful world children adventure hero music creature bright imagination family review with colorful fantasy scenes but also hints of psychological,images/train_animation_039.png,animation
witty comedy laugh prank friendship romance silly colorful good vibes amusing scenes fun review with bright scenes and jokes,images/train_comedy_052.png,comedy
psychological horror eerie threat haunted corridor blood suspense fear shadow monster silence review with tense scenes and dark mood,images/train_horror_028.png,horror
animation family adventure colorful magical hero animal kingdom fantasy playful journey friendship family review with colorful fantasy scenes but also hints of humor,images/train_animation_015.png,animation
documentary interview social history archive true story testimony director report society culture real footage slow paced review with real interviews but also hints of psychological,images/train_documentary_077.png,documentary
animation family adventure colorful magical hero animal kingdom fantasy playful journey friendship family review with colorful fantasy scenes but also hints of witty,images/train_animation_082.png,animation
documentary interview social history archive true story testimony director report society culture real footage slow paced review with real interviews,images/train_documentary_009.png,documentary
horror dark fear nightmare haunted blood shadow scream sinister mystery suspense survival terror review with tense scenes and dark mood,images/train_horror_041.png,horror
cartoon animation fantasy family magical adventure playful kingdom characters friendship color family review with colorful fantasy scenes but also hints of historical,images/train_animation_073.png,animation
horror dark fear nightmare haunted blood shadow scream sinister mystery suspense survival terror review with tense scenes and dark mood,images/train_horror_058.png,horror
documentary interview social history archive true story testimony director report society culture real footage slow paced review with real interviews,images/train_documentary_030.png,documentary
historical documentary archive interview public issue real people testimony social context education cinema slow paced review with real interviews,images/train_documentary_093.png,documentary
historical documentary archive interview public issue real people testimony social context education cinema slow paced review with real interviews,images/train_documentary_055.png,documentary
animated family colorful world children adventure hero music creature bright imagination family review with colorful fantasy scenes,images/train_animation_063.png,animation
historical documentary archive interview public issue real people testimony social context education cinema slow paced review with real interviews,images/train_documentary_033.png,documentary
humor comic family fun joke awkward situation bright energy smile entertaining crowd pleasing fun review with bright scenes and jokes,images/train_comedy_083.png,comedy
witty comedy laugh prank friendship romance silly colorful good vibes amusing scenes fun review with bright scenes and jokes,images/train_comedy_060.png,comedy
animated family colorful world children adventure hero music creature bright imagination family review with colorful fantasy scenes,images/train_animation_105.png,animation
nonfiction report documentary investigation narrator real events oral history social memory public archive slow paced review with real interviews,images/train_documentary_070.png,documentary
psychological horror eerie threat haunted corridor blood suspense fear shadow monster silence review with tense scenes and dark mood,images/train_horror_021.png,horror
nonfiction report documentary investigation narrator real events oral history social memory public archive slow paced review with real interviews,images/train_documentary_104.png,documentary
animated family colorful world children adventure hero music creature bright imagination family review with colorful fantasy scenes,images/train_animation_114.png,animation
horror dark fear nightmare haunted blood shadow scream sinister mystery suspense survival terror review with tense scenes and dark mood but also hints of nonfiction,images/train_horror_118.png,horror
horror dark fear nightmare haunted blood shadow scream sinister mystery suspense survival terror review with tense scenes and dark mood but also hints of witty,images/train_horror_081.png,horror
psychological horror eerie threat haunted corridor blood suspense fear shadow monster silence review with tense scenes and dark mood,images/train_horror_061.png,horror
nonfiction report documentary investigation narrator real events oral history social memory public archive slow paced review with real interviews,images/train_documentary_000.png,documentary
cartoon animation fantasy family magical adventure playful kingdom characters friendship color family review with colorful fantasy scenes,images/train_animation_031.png,animation
nonfiction report documentary investigation narrator real events oral history social memory public archive slow paced review with real interviews,images/train_documentary_011.png,documentary
animation family adventure colorful magical hero animal kingdom fantasy playful journey friendship family review with colorful fantasy scenes,images/train_animation_020.png,animation
animated family colorful world children adventure hero music creature bright imagination family review with colorful fantasy scenes,images/train_animation_070.png,animation
animated family colorful world children adventure hero music creature bright imagination family review with colorful fantasy scenes,images/train_animation_017.png,animation
nonfiction report documentary investigation narrator real events oral history social memory public archive slow paced review with real interviews,images/train_documentary_117.png,documentary
horror dark fear nightmare haunted blood shadow scream sinister mystery suspense survival terror review with tense scenes and dark mood,images/train_horror_062.png,horror
comedy funny absurd joke friendship awkward cheerful hilarious playful laugh romance lighthearted fun review with bright scenes and jokes,images/train_comedy_053.png,comedy
animated family colorful world children adventure hero music creature bright imagination family review with colorful fantasy scenes,images/train_animation_111.png,animation
documentary interview social history archive true story testimony director report society culture real footage slow paced review with real interviews,images/train_documentary_018.png,documentary
